playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"2495139","null","Charles Clay","TE","BUF","TE","BUF","-29.5867","87.91","null","157.3","141","18","null","null","0.995","140.4","0.6","1.5","87.91","87.91","4.3946","null",
"2507763","null","Mike Wallace","WR","BAL","WR","BAL","-30.2267","88.2","null","146.9","142","61","null","null","4.715","144.6","-2.6","1.6","88.2","88.2","3.5317","null",
"2533046","null","Dwayne Allen","TE","IND","TE","IND","-30.3567","87.14","null","115.2","143","19","null","null","4.765","137.2","5.8","1.8","87.14","87.14","4.1381","null",
"2540148","null","Tyler Eifert","TE","CIN","TE","CIN","-30.8067","86.69","null","106.3","144","20","null","null","9.795","99.3","44.7","3.2","86.69","86.69","7.3809","null",
"2532903","null","Rishard Matthews","WR","TEN","WR","TEN","-32.6067","85.82","null","140.5","145","62","null","null","5.12","142.8","2.2","1.4","85.82","85.82","3.9491","null",
"2506467","null","Darren Sproles","RB","PHI","RB","PHI","-32.7933","98.65","null","151","146","42","null","null","1.64","134.4","11.6","1.2","98.65","98.65","3.6991","null",
"2552466","null","Marcus Mariota","QB","TEN","QB","TEN","-33.0207","239.126","null","125.4","147","23","null","null","6.879","115.6","31.4","2.6","239.126","239.126","8.726","null",
"2495473","null","Shane Vereen","RB","NYG","RB","NYG","-33.4133","98.03","null","154.5","148","43","null","null","4.335","148.3","-0.3","1.1","98.03","98.03","3.8516","null",
"2552453","null","Tevin Coleman","RB","ATL","RB","ATL","-35.4533","95.99","null","116.5","149","44","null","null","6.09","134","15","1.4","95.99","95.99","6.0856","null",
"2552470","null","Sammie Coates","WR","PIT","WR","PIT","-37.2767","81.15","null","156.5","150","63","null","null","1.86","144.6","5.4","1.2","81.15","81.15","5.1421","null",
"2540169","null","Robert Woods","WR","BUF","WR","BUF","-38.1767","80.25","null","192.7","151","64","null","null","1.93","170","-19","0","80.25","80.25","4.0354","null",
"2504211","null","Tom Brady","QB","NE","QB","NE","-38.6667","233.48","null","92","152","24","null","null","2.996","62","90","12.9","233.48","233.48","3.1591","null",
"2495267","null","Jordan Cameron","TE","MIA","TE","MIA","-39.4367","78.06","null","174.6","153","21","null","null","4.145","170","-17","0","78.06","78.06","4.5495","null",
"2495979","null","DeAngelo Williams","RB","PIT","RB","PIT","-40.0433","91.4","null","98.4","154","45","null","null","4.315","94.8","59.2","5","91.4","91.4","3.148","null",
"2507166","null","Ted Ginn","WR","CAR","WR","CAR","-40.0967","78.33","null","174.4","155","65","null","null","0.71","137.3","17.7","1.7","78.33","78.33","3.7209","null",
"2543646","null","Bruce Ellington","WR","SF","WR","SF","-40.1167","78.31","null","161.4","156","66","null","null","2.33","144.7","11.3","1.1","78.31","78.31","4.3112","null",
"2495824","null","Jay Cutler","QB","CHI","QB","CHI","-41.1327","231.014","null","160","157","25","null","null","4.751","170","-13","0","231.014","231.014","4.3201","null",
"2505587","null","Anquan Boldin","WR","DET","WR","DET","-41.4967","76.93","null","166.2","158","67","null","null","3.33","139.2","18.8","0","76.93","76.93","3.2308","null",
"2495438","null","Kyle Rudolph","TE","MIN","TE","MIN","-41.7667","75.73","null","179.9","159","22","null","null","4.955","132.7","26.3","0","75.73","75.73","4.5495","null",
"2543465","null","Teddy Bridgewater","QB","MIN","QB","MIN","-42.1927","229.954","null","186.1","160","26","null","null","27.651","123.8","36.2","3.1","229.954","229.954","7.7321","null",
"497206","null","James Starks","RB","GB","RB","GB","-43.0433","88.4","null","152","161","46","null","null","4.645","132","29","1.2","88.4","88.4","3.6208","null",
"2532887","null","Jermaine Kearse","WR","SEA","WR","SEA","-43.3967","75.03","null","204","162","68","null","null","2.87","170","-8","0","75.03","75.03","4.1566","null",
"2552468","null","Maxx Williams","TE","BAL","TE","BAL","-45.3967","72.1","null","217.4","163","23","null","null","3.64","170","-7","0","72.1","72.1","4.912","null",
