playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"2555295","null","Sterling Shepard","WR","NYG","WR","NYG","7.1667","127.3","null","98.5","67","32","null","null","3.02","110.91","-43.91","3","127.3","127.3","4.4456","null",
"497322","null","Emmanuel Sanders","WR","DEN","WR","DEN","6.0267","126.16","null","69.7","68","33","null","null","3.935","68.32","-0.32","8.6","126.16","126.16","5.1849","null",
"2495207","null","DeMarco Murray","RB","TEN","RB","TEN","5.9333","138.2","null","48.8","69","25","null","null","0.8","47.89","21.11","13.9","138.2","138.2","5.1722","null",
"2495966","null","Delanie Walker","TE","TEN","TE","TEN","5.8333","116.2","null","68.8","70","5","null","null","5.2","60.14","9.86","8.4","116.2","116.2","3.2814","null",
"2540156","null","Giovani Bernard","RB","CIN","RB","CIN","5.4333","137.7","null","65.5","71","26","null","null","1.45","74.13","-3.13","3.9","137.7","137.7","4.3919","null",
"2495143","null","Andy Dalton","QB","CIN","QB","CIN","5.1233","274.02","null","121.6","72","8","null","null","1.975","109.78","-37.78","3.4","274.02","274.02","4.8906","null",
"2506404","null","Frank Gore","RB","IND","RB","IND","4.8333","137.1","null","61.3","73","27","null","null","2.4","79.48","-6.48","5.6","137.1","137.1","2.6415","null",
"2532820","null","Kirk Cousins","QB","WAS","QB","WAS","3.5533","272.45","null","110.5","74","9","null","null","1.62","109.6","-35.6","3.2","272.45","272.45","3.8312","null",
"2552461","null","Duke Johnson","RB","CLE","RB","CLE","3.1333","135.4","null","74.8","75","28","null","null","2.4","85.11","-10.11","4.6","135.4","135.4","7.4187","null",
"79860","null","Matthew Stafford","QB","DET","QB","DET","2.7433","271.64","null","115.4","76","10","null","null","4.115","107.25","-31.25","3","271.64","271.64","3.5074","null",
"2540258","null","Travis Kelce","TE","KC","TE","KC","2.3333","112.7","null","63.4","77","6","null","null","3.5","64.81","12.19","7","112.7","112.7","3.2589","null",
"2552430","null","Tyler Lockett","WR","SEA","WR","SEA","2.2667","122.4","null","76.7","78","34","null","null","0.725","86.57","-8.57","3.4","122.4","122.4","3.4582","null",
"2532884","null","Marvin Jones","WR","DET","WR","DET","1.9167","122.05","null","73.6","79","35","null","null","0.95","97.17","-18.17","4","122.05","122.05","5.1068","null",
"2543603","null","Jeremy Hill","RB","CIN","RB","CIN","1.7333","134","null","48","80","29","null","null","2.6","54.67","25.33","15.7","134","134","2.913","null",
"2506400","null","Vincent Jackson","WR","TB","WR","TB","1.1667","121.3","null","112.7","81","36","null","null","1.75","132.08","-51.08","1.5","121.3","121.3","3.748","null",
"2505245","null","Carson Palmer","QB","ARI","QB","ARI","1.1233","270.02","null","70.6","82","11","null","null","6.355","54.2","27.8","9.1","270.02","270.02","3.1367","null",
"2550353","null","Allen Hurns","WR","JAC","WR","JAC","0.7667","120.9","null","74.4","83","37","null","null","3.6","88.69","-5.69","4.3","120.9","120.9","4.1332","null",
"100009","null","Broncos","DST","DEN","DST","DEN","0","147.4","null","142.4","84","1","null","null","6.75","null","null","5.2","147.4","147.4","0.6195","null",
"2536340","null","Justin Tucker","K","BAL","K","BAL","0","158.6","null","203.4","84","1","null","null","4.9","137.22","-53.22","1.6","158.6","158.6","3.8795","null",
"79555","null","Arian Foster","RB","MIA","RB","MIA","-0.2667","132","null","75.9","86","30","null","null","2.15","73.17","12.83","8.2","132","132","5.5254","null",
"2540158","null","Zach Ertz","TE","PHI","TE","PHI","-1.0667","109.3","null","95.7","87","7","null","null","3.5","104.42","-17.42","2.4","109.3","109.3","5.4358","null",
"1060","null","Gary Barnidge","TE","CLE","TE","CLE","-1.2667","109.1","null","92.1","88","8","null","null","6.65","83.54","4.46","3.3","109.1","109.1","3.0512","null",
"100004","null","Panthers","DST","CAR","DST","CAR","-1.3","146.1","null","157.5","89","2","null","null","12.85","null","null","3.4","146.1","146.1","2.1039","null",
"4327","null","Danny Woodhead","RB","SD","RB","SD","-1.4667","130.8","null","78.7","90","31","null","null","4.95","72.6","17.4","4.6","130.8","130.8","3.6477","null",
"2495459","null","Torrey Smith","WR","SF","WR","SF","-1.9333","118.2","null","109.2","91","38","null","null","2.7","118.67","-27.67","1.8","118.2","118.2","3.7219","null",
"2506922","null","Stephen Gostkowski","K","NE","K","NE","-2.8","155.8","null","202.8","92","2","null","null","6.8","99.78","-7.78","4.4","155.8","155.8","0.7335","null",
"2552374","null","Ameer Abdullah","RB","DET","RB","DET","-3.3667","128.9","null","79.8","93","32","null","null","9.5","83.86","9.14","3.5","128.9","128.9","3.6631","null",
"2550256","null","Willie Snead","WR","NO","WR","NO","-3.7333","116.4","null","104.3","94","39","null","null","1.95","113.72","-19.72","1.6","116.4","116.4","3.4686","null",
"2506121","null","Philip Rivers","QB","SD","QB","SD","-3.8667","265.03","null","88.4","95","12","null","null","3.58","84.02","10.98","6","265.03","265.03","2.7721","null",
"1581","null","DeSean Jackson","WR","WAS","WR","WAS","-5.5333","114.6","null","78.2","96","40","null","null","0.3","98.08","-2.08","4.5","114.6","114.6","5.112","null",
"2532903","null","Rishard Matthews","WR","TEN","WR","TEN","-5.8333","114.3","null","140.5","97","41","null","null","0.665","155.17","-58.17","1.4","114.3","114.3","3.9368","null",
"2552409","null","DeVante Parker","WR","MIA","WR","MIA","-5.8333","114.3","null","83.8","97","41","null","null","1.665","106.63","-9.63","4.8","114.3","114.3","7.0172","null",
"2543477","null","Blake Bortles","QB","JAC","QB","JAC","-6.5967","262.3","null","87.2","99","13","null","null","3.96","86.8","12.2","7","262.3","262.3","4.1806","null",
"2550545","null","Chris Boswell","K","PIT","K","PIT","-7","151.6","null","228.3","100","3","null","null","7.1","140.69","-40.69","1.6","151.6","151.6","4.7783","null",
"2552608","null","Stefon Diggs","WR","MIN","WR","MIN","-7.1633","112.97","null","104.8","101","43","null","null","1.32","110.86","-9.86","2.6","112.97","112.97","3.4894","null",
"2532790","null","Travis Benjamin","WR","SD","WR","SD","-7.8333","112.3","null","114.5","102","44","null","null","1.79","136.23","-34.23","1.4","112.3","112.3","3.8676","null",
"2505299","null","Antonio Gates","TE","SD","TE","SD","-7.8667","102.5","null","99.8","103","9","null","null","1","94.71","8.29","2.1","102.5","102.5","3.204","null",
"2505629","null","Jason Witten","TE","DAL","TE","DAL","-7.9667","102.4","null","135.4","104","10","null","null","2.7","112.01","-8.01","2.6","102.4","102.4","3.211","null",
"2543499","null","Derek Carr","QB","OAK","QB","OAK","-8.2967","260.6","null","112","105","14","null","null","6.05","96.82","8.18","3.2","260.6","260.6","5.1485","null",
"2539336","null","Tavon Austin","WR","LA","WR","LA","-9.1333","111","null","113.7","106","45","null","null","1.49","104.73","1.27","1.6","111","111","4.2373","null",
"2552471","null","T.J. Yeldon","RB","JAC","RB","JAC","-9.4667","122.8","null","91.3","107","33","null","null","7.645","98.38","8.62","3.4","122.8","122.8","8.1897","null",
"2495353","null","Julius Thomas","TE","JAC","TE","JAC","-9.7667","100.6","null","96.3","108","11","null","null","2.15","109.84","-1.84","1.9","100.6","100.6","6.2069","null",
"2555333","null","Corey Coleman","WR","CLE","WR","CLE","-10.1133","110.02","null","104.5","109","46","null","null","1.57","128.83","-19.83","1.6","110.02","110.02","5.6117","null",
"2504595","null","Steve Smith","WR","BAL","WR","BAL","-11.1333","109","null","129.4","110","47","null","null","1.15","139.87","-29.87","1.3","109","109","3.6073","null",
"497236","null","Jimmy Graham","TE","SEA","TE","SEA","-11.5667","98.8","null","140.5","111","12","null","null","1.35","113.23","-2.23","2.5","98.8","98.8","4.8498","null",
"100016","null","Chiefs","DST","KC","DST","KC","-12.2","135.2","null","175.9","113","3","null","null","4.3","null","null","1.6","135.2","135.2","4.2246","null",
"2495259","null","Dan Bailey","K","DAL","K","DAL","-12.2","146.4","null","206.6","112","4","null","null","4.55","151.78","-39.78","1.7","146.4","146.4","3.8795","null",
"2556370","null","Michael Thomas","WR","NO","WR","NO","-12.2333","107.9","null","133","114","48","null","null","1","139.58","-25.58","1.6","107.9","107.9","5.1998","null",
"2533046","null","Dwayne Allen","TE","IND","TE","IND","-12.2667","98.1","null","115.2","115","13","null","null","3.05","123.26","-8.26","1.8","98.1","98.1","4.2984","null",
"2555214","null","Laquon Treadwell","WR","MIN","WR","MIN","-12.3333","107.8","null","144.5","116","49","null","null","2.4","139.94","-23.94","2.2","107.8","107.8","5.8765","null",
"2495240","null","Tyrod Taylor","QB","BUF","QB","BUF","-12.8167","256.08","null","109.2","117","15","null","null","3.28","113.57","3.43","2.7","256.08","256.08","3.7273","null",
"1062","null","Martellus Bennett","TE","NE","TE","NE","-13.5667","96.8","null","121.9","118","14","null","null","4.8","98.05","19.95","2","96.8","96.8","3.542","null",
"2553432","null","Kevin White","WR","CHI","WR","CHI","-14.1333","106","null","96","119","50","null","null","1.425","108.39","10.61","3.1","106","106","4.3154","null",
"2537931","null","Josh Gordon","WR","CLE","WR","CLE","-15.3333","104.8","null","90.5","120","51","null","null","1.87","90.87","29.13","5.2","104.8","104.8","3.5553","null",
"2552424","null","Phillip Dorsett","WR","IND","WR","IND","-15.7833","104.35","null","135.7","121","52","null","null","3.08","142.22","-21.22","1.2","104.35","104.35","4.9876","null",
"2506581","null","Ryan Fitzpatrick","QB","NYJ","QB","NYJ","-15.8767","253.02","null","139.4","122","16","null","null","1.97","143.72","-21.72","2.7","253.02","253.02","3.7188","null",
"71309","null","Graham Gano","K","CAR","K","CAR","-16","142.6","null","212.4","123","5","null","null","1.95","140.89","-17.89","1.3","142.6","142.6","3.5424","null",
"100017","null","Rams","DST","LA","DST","LA","-16.1","131.3","null","174.5","124","4","null","null","2.55","null","null","1.6","131.3","131.3","4.4367","null",
"2507999","null","Chris Ivory","RB","JAC","RB","JAC","-16.2667","116","null","83.4","125","34","null","null","1.845","82.24","42.76","2.9","116","116","4.5438","null",
"2552033","null","Jameis Winston","QB","TB","QB","TB","-16.3167","252.58","null","116.2","126","17","null","null","4.12","101.7","24.3","3.8","252.58","252.58","4.4507","null",
"100027","null","Steelers","DST","PIT","DST","PIT","-16.9","130.5","null","207.1","127","5","null","null","3.65","null","null","1.4","130.5","130.5","6.5574","null",
"2495139","null","Charles Clay","TE","BUF","TE","BUF","-17.0667","93.3","null","157.3","128","15","null","null","2.95","150.21","-22.21","1.5","93.3","93.3","4.5767","null",
"2532968","null","Blair Walsh","K","MIN","K","MIN","-17.5","141.1","null","212","129","6","null","null","1.6","160.51","-31.51","1.3","141.1","141.1","4.4413","null",
"2550189","null","Isaiah Crowell","RB","CLE","RB","CLE","-17.9567","114.31","null","99.4","130","35","null","null","0.41","114.11","15.89","1.3","114.31","114.31","3.9665","null",
"927","null","Justin Forsett","RB","BAL","RB","BAL","-18.2667","114","null","104","131","36","null","null","1.75","113.81","17.19","2.4","114","114","3.4878","null",
"2507374","null","Steven Hauschka","K","SEA","K","SEA","-18.4","140.2","null","201.7","132","7","null","null","2","135.94","-3.94","2.6","140.2","140.2","2.5312","null",
"2543770","null","Charles Sims","RB","TB","RB","TB","-18.4667","113.8","null","101.5","133","37","null","null","6","106.17","26.83","1.4","113.8","113.8","4.2515","null",
"2539291","null","Markus Wheaton","WR","PIT","WR","PIT","-18.6233","101.51","null","123.3","134","53","null","null","4.095","131.44","2.56","1.3","101.51","101.51","4.0864","null",
"2533040","null","Mohamed Sanu","WR","ATL","WR","ATL","-19.1033","101.03","null","135.8","135","54","null","null","7.33","142.63","-7.63","1.5","101.03","101.03","3.6386","null",
"2552466","null","Marcus Mariota","QB","TEN","QB","TEN","-19.3767","249.52","null","125.4","136","18","null","null","2.49","126.39","9.61","2.6","249.52","249.52","8.8443","null",
"238457","null","Zach Miller","TE","CHI","TE","CHI","-19.6667","90.7","null","146.6","137","16","null","null","0.95","141.89","-4.89","1.2","90.7","90.7","3.3836","null",
"2507232","null","Mason Crosby","K","GB","K","GB","-19.8","138.8","null","209.6","138","8","null","null","1.8","127.29","10.71","1.5","138.8","138.8","3.093","null",
"2495267","null","Jordan Cameron","TE","MIA","TE","MIA","-20.3667","90","null","174.6","139","17","null","null","4.6","170.62","-31.62","0","90","90","4.7538","null",
