playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"2552374","null","Ameer Abdullah","RB","DET","RB","DET","4.1333","135.3","null","79.8","71","24","null","null","0.2","83.86","-12.86","3.5","135.3","135.3","3.3047","null",
"2552469","null","Melvin Gordon","RB","SD","RB","SD","3.9333","135.1","null","64.5","72","25","null","null","0.1","68.88","3.12","7.2","135.1","135.1","7.9793","null",
"2552635","null","Matt Jones","RB","WAS","RB","WAS","3.9333","135.1","null","69.3","72","25","null","null","0.4","64.48","7.52","6.5","135.1","135.1","4.5503","null",
"2506404","null","Frank Gore","RB","IND","RB","IND","3.7333","134.9","null","61.3","74","27","null","null","0.65","79.48","-5.48","5.6","134.9","134.9","2.2083","null",
"2507999","null","Chris Ivory","RB","JAC","RB","JAC","3.3333","134.5","null","83.4","75","28","null","null","1.75","82.24","-7.24","2.9","134.5","134.5","4.2567","null",
"2552033","null","Jameis Winston","QB","TB","QB","TB","3.22","258.42","null","116.2","76","9","null","null","0.97","101.7","-25.7","3.8","258.42","258.42","4.3956","null",
"497188","null","Ryan Mathews","RB","PHI","RB","PHI","2.8333","134","null","56.2","77","29","null","null","4.25","66.77","10.23","9.6","134","134","5.9649","null",
"2552466","null","Marcus Mariota","QB","TEN","QB","TEN","2.8","258","null","125.4","78","10","null","null","4.2","126.39","-48.39","2.6","258","258","9.3427","null",
"1060","null","Gary Barnidge","TE","CLE","TE","CLE","2.7333","117.3","null","92.1","79","5","null","null","2.4","83.54","-4.54","3.3","117.3","117.3","2.994","null",
"2543499","null","Derek Carr","QB","OAK","QB","OAK","1.7","256.9","null","112","80","11","null","null","6.22","96.82","-16.82","3.2","256.9","256.9","5.1959","null",
"1581","null","DeSean Jackson","WR","WAS","WR","WAS","0.7667","105.5","null","78.2","81","36","null","null","1.15","98.08","-17.08","4.5","105.5","105.5","4.9028","null",
"2552608","null","Stefon Diggs","WR","MIN","WR","MIN","0.7667","105.5","null","104.8","82","37","null","null","3.75","110.86","-28.86","2.6","105.5","105.5","3.6387","null",
"1062","null","Martellus Bennett","TE","NE","TE","NE","0.4333","115","null","121.9","83","6","null","null","0.65","98.05","-15.05","2","115","115","3.4006","null",
"79555","null","Arian Foster","RB","MIA","RB","MIA","0.3333","131.5","null","75.9","84","30","null","null","3.75","73.17","10.83","8.2","131.5","131.5","5.3817","null",
"2540158","null","Zach Ertz","TE","PHI","TE","PHI","0.2333","114.8","null","95.7","85","7","null","null","1.4","104.42","-19.42","2.4","114.8","114.8","5.2787","null",
"100004","null","Panthers","DST","CAR","DST","CAR","0","135","null","157.5","86","1","null","null","8","null","null","3.4","135","135","2.1294","null",
"2506922","null","Stephen Gostkowski","K","NE","K","NE","0","40.1","null","202.8","86","1","null","null","1.75","99.78","-13.78","4.4","40.1","40.1","0.6345","null",
"2507232","null","Mason Crosby","K","GB","K","GB","-0.3","39.8","null","209.6","88","2","null","null","2.9","127.29","-39.29","1.5","39.8","39.8","3.1936","null",
"2532838","null","Coby Fleener","TE","NO","TE","NO","-0.6667","113.9","null","77.6","89","8","null","null","1.6","70.68","18.32","5.3","113.9","113.9","3.2082","null",
"2555333","null","Corey Coleman","WR","CLE","WR","CLE","-1.5333","103.2","null","104.5","90","38","null","null","4.8","128.83","-38.83","1.6","103.2","103.2","5.3651","null",
"2540258","null","Travis Kelce","TE","KC","TE","KC","-1.6667","112.9","null","63.4","91","9","null","null","11.85","64.81","26.19","7","112.9","112.9","3.1269","null",
"2505299","null","Antonio Gates","TE","SD","TE","SD","-2.8667","111.7","null","99.8","92","10","null","null","22.9","94.71","-2.71","2.1","111.7","111.7","3.0691","null",
"2550189","null","Isaiah Crowell","RB","CLE","RB","CLE","-3.1667","128","null","99.4","93","31","null","null","0.6","114.11","-21.11","1.3","128","128","3.6688","null",
"2550325","null","Chandler Catanzaro","K","ARI","K","ARI","-3.2","36.9","null","211","94","3","null","null","0.2","151.33","-57.33","1.3","36.9","36.9","3.0717","null",
"2550545","null","Chris Boswell","K","PIT","K","PIT","-3.2","36.9","null","228.3","95","4","null","null","0.5","140.69","-45.69","1.6","36.9","36.9","5.0215","null",
"71309","null","Graham Gano","K","CAR","K","CAR","-3.6","36.5","null","212.4","96","5","null","null","0.45","140.89","-44.89","1.3","36.5","36.5","3.681","null",
"2543770","null","Charles Sims","RB","TB","RB","TB","-3.6667","127.5","null","101.5","97","32","null","null","0.5","106.17","-9.17","1.4","127.5","127.5","3.9375","null",
"2507374","null","Steven Hauschka","K","SEA","K","SEA","-3.8","36.3","null","201.7","98","6","null","null","0.8","135.94","-37.94","2.6","36.3","36.3","2.5843","null",
"2552471","null","T.J. Yeldon","RB","JAC","RB","JAC","-3.8667","127.3","null","91.3","99","33","null","null","1.05","98.38","0.62","3.4","127.3","127.3","8.1284","null",
"2495259","null","Dan Bailey","K","DAL","K","DAL","-4.3","35.8","null","206.6","100","7","null","null","0.95","151.78","-51.78","1.7","35.8","35.8","4.0466","null",
"2550256","null","Willie Snead","WR","NO","WR","NO","-4.4333","100.3","null","104.3","101","39","null","null","3.8","113.72","-12.72","1.6","100.3","100.3","3.6191","null",
"497149","null","LeGarrette Blount","RB","NE","RB","NE","-4.4667","126.7","null","100.8","102","34","null","null","1.9","94.89","7.11","2.3","126.7","126.7","3.9753","null",
"2495143","null","Andy Dalton","QB","CIN","QB","CIN","-4.5","250.7","null","121.6","103","12","null","null","0.87","109.78","-6.78","3.4","250.7","250.7","4.9201","null",
"2543477","null","Blake Bortles","QB","JAC","QB","JAC","-4.54","250.66","null","87.2","104","13","null","null","2.31","86.8","17.2","7","250.66","250.66","4.0916","null",
"2505459","null","Josh Brown","K","NYG","K","NYG","-4.9","35.2","null","235.8","105","8","null","null","0.9","168.51","-63.51","1.1","35.2","35.2","6.4838","null",
"2552461","null","Duke Johnson","RB","CLE","RB","CLE","-5.3667","125.8","null","74.8","106","35","null","null","4","85.11","20.89","4.6","125.8","125.8","7.2596","null",
"2550636","null","Cairo Santos","K","KC","K","KC","-5.6","34.5","null","233.1","107","9","null","null","0.5","167.22","-60.22","0","34.5","34.5","4.2903","null",
"2506386","null","Mike Nugent","K","CIN","K","CIN","-6","34.1","null","194","108","10","null","null","0.4","172.87","-64.87","0","34.1","34.1","3.5592","null",
"79860","null","Matthew Stafford","QB","DET","QB","DET","-6.2","249","null","115.4","110","14","null","null","1.52","107.25","2.75","3","249","249","3.348","null",
"2503471","null","Adam Vinatieri","K","IND","K","IND","-6.2","33.9","null","211.4","109","11","null","null","0.65","155.19","-46.19","1.8","33.9","33.9","3.8029","null",
"2504257","null","Sebastian Janikowski","K","OAK","K","OAK","-6.6","33.5","null","196","111","12","null","null","0.9","168.21","-57.21","0","33.5","33.5","6.362","null",
"100016","null","Chiefs","DST","KC","DST","KC","-7","128","null","175.9","112","2","null","null","2.5","null","null","1.6","128","128","4.2183","null",
"2541556","null","Brandon McManus","K","DEN","K","DEN","-7.1","33","null","232","113","13","null","null","1.1","155.53","-42.53","1.8","33","33","5.9964","null",
"71345","null","Rashad Jennings","RB","NYG","RB","NYG","-7.3667","123.8","null","78.8","114","36","null","null","5.35","92.3","21.7","4.1","123.8","123.8","3.8745","null",
"2506121","null","Philip Rivers","QB","SD","QB","SD","-7.5","247.7","null","88.4","115","15","null","null","1.81","84.02","30.98","6","247.7","247.7","2.3745","null",
"2495150","null","Kai Forbath","K","NO","K","NO","-7.9","32.2","null","187.5","116","14","null","null","1","null","null","0","32.2","32.2","10.1396","null",
"2505996","null","Eli Manning","QB","NYG","QB","NYG","-7.94","247.26","null","80.6","117","16","null","null","3.6","74.77","42.23","7.2","247.26","247.26","2.4815","null",
"2532884","null","Marvin Jones","WR","DET","WR","DET","-8.2333","96.5","null","73.6","118","40","null","null","0.15","97.17","20.83","4","96.5","96.5","4.8981","null",
"2552409","null","DeVante Parker","WR","MIA","WR","MIA","-8.2333","96.5","null","83.8","119","41","null","null","1.85","106.63","12.37","4.8","96.5","96.5","6.6647","null",
"2539227","null","Dustin Hopkins","K","WAS","K","WAS","-8.5","31.6","null","212.5","120","15","null","null","1.05","182.12","-62.12","0","31.6","31.6","5.5089","null",
"2555466","null","Tyler Boyd","WR","CIN","WR","CIN","-8.5333","96.2","null","151.3","121","42","null","null","4","142.27","-21.27","2","96.2","96.2","5.1865","null",
"100032","null","Redskins","DST","WAS","DST","WAS","-9","126","null","218.7","122","3","null","null","1","null","null","0","126","126","6.934","null",
"2536340","null","Justin Tucker","K","BAL","K","BAL","-9.3","30.8","null","203.4","123","16","null","null","0.9","137.22","-14.22","1.6","30.8","30.8","4.0466","null",
"2506677","null","Matt Prater","K","DET","K","DET","-9.8","30.3","null","207.6","124","17","null","null","0.9","174.22","-50.22","1.2","30.3","30.3","5.5089","null",
"100026","null","Cardinals","DST","ARI","DST","ARI","-10","125","null","147.8","125","4","null","null","1.5","null","null","2.9","125","125","1.0849","null",
"100027","null","Steelers","DST","PIT","DST","PIT","-10","125","null","207.1","125","4","null","null","3.5","null","null","1.4","125","125","6.5162","null",
"2507225","null","Nick Folk","K","NYJ","K","NYJ","-10.6","29.5","null","212","127","18","null","null","0.4","null","null","0","29.5","29.5","8.068","null",
"2532820","null","Kirk Cousins","QB","WAS","QB","WAS","-10.68","244.52","null","110.5","128","17","null","null","2.08","109.6","18.4","3.2","244.52","244.52","3.7272","null",
"2506264","null","Robbie Gould","K","CHI","K","CHI","-10.8","29.3","null","241.5","129","19","null","null","0.65","172","-43","0","29.3","29.3","6.362","null",
"2504797","null","Matt Bryant","K","ATL","K","ATL","-11.2","28.9","null","250.3","130","20","null","null","0.6","172.77","-42.77","0","28.9","28.9","5.2652","null",
"927","null","Justin Forsett","RB","BAL","RB","BAL","-11.3667","119.8","null","104","131","37","null","null","2.8","113.81","17.19","2.4","119.8","119.8","3.1805","null",
"2504595","null","Steve Smith","WR","BAL","WR","BAL","-11.6333","93.1","null","129.4","132","43","null","null","1.95","139.87","-7.87","1.3","93.1","93.1","3.5166","null",
"2539637","null","Caleb Sturgis","K","PHI","K","PHI","-11.7","28.4","null","203.5","133","21","null","null","0.2","null","null","0","28.4","28.4","7.0931","null",
"2506194","null","Nick Novak","K","HOU","K","HOU","-11.9","28.2","null","254.5","134","22","null","null","0.1","178.54","-44.54","0","28.2","28.2","5.9964","null",
"2532968","null","Blair Walsh","K","MIN","K","MIN","-11.9","28.2","null","212","135","23","null","null","0.4","160.51","-25.51","1.3","28.2","28.2","4.6559","null",
"2507401","null","Dan Carpenter","K","BUF","K","BUF","-12.1","28","null","176.3","136","24","null","null","0.45","180.35","-44.35","0","28","28","5.5089","null",
"382","null","Joe Flacco","QB","BAL","QB","BAL","-12.4","242.8","null","158.6","137","18","null","null","3.93","135.78","1.22","0","242.8","242.8","4.1603","null",
"89802","null","Ryan Succop","K","TEN","K","TEN","-12.5","27.6","null","248","138","25","null","null","0.9","null","null","0","27.6","27.6","2.0969","null",
"2553112","null","Jason Myers","K","JAC","K","JAC","-12.6","27.5","null","206.5","139","26","null","null","1.75","182","-43","0","27.5","27.5","5.7527","null",
"100010","null","Lions","DST","DET","DST","DET","-13","122","null","259.5","140","6","null","null","1","null","null","0","122","122","4.2183","null",
"2506340","null","Alex Smith","QB","KC","QB","KC","-13.12","242.08","null","167.9","141","19","null","null","6.97","143.82","-2.82","2.7","242.08","242.08","2.7119","null",
"2506400","null","Vincent Jackson","WR","TB","WR","TB","-13.4333","91.3","null","112.7","142","44","null","null","1.25","132.08","9.92","1.5","91.3","91.3","3.6438","null",
"2530660","null","Kamar Aiken","WR","BAL","WR","BAL","-13.7333","91","null","123.9","143","45","null","null","2.4","139.95","3.05","1.2","91","91","4.519","null",
"100009","null","Broncos","DST","DEN","DST","DEN","-14","121","null","142.4","144","7","null","null","0","null","null","5.2","121","121","0.6671","null",
"100013","null","Texans","DST","HOU","DST","HOU","-14","121","null","164.3","144","7","null","null","0","null","null","1.8","121","121","3.8005","null",
"100014","null","Colts","DST","IND","DST","IND","-14","121","null","253.3","144","7","null","null","1","null","null","0","121","121","7.3518","null",
"100015","null","Jaguars","DST","JAC","DST","JAC","-14","121","null","222.8","144","7","null","null","2","null","null","0","121","121","6.7251","null",
"2495979","null","DeAngelo Williams","RB","PIT","RB","PIT","-14.0667","117.1","null","98.4","148","38","null","null","3","84.96","63.04","5","117.1","117.1","2.8943","null",
"2555408","null","Roberto Aguayo","K","TB","K","TB","-14.2","25.9","null","223.3","149","27","null","null","0.5","170.56","-21.56","1.4","25.9","25.9","6.2401","null",
"2555223","null","Devontae Booker","RB","DEN","RB","DEN","-14.2667","116.9","null","147.9","150","39","null","null","9.6","131.25","18.75","1.4","116.9","116.9","4.7288","null",
"2553833","null","Josh Lambo","K","SD","K","SD","-14.5","25.6","null","179.5","151","28","null","null","0.85","null","null","0","25.6","25.6","4.5341","null",
"2553648","null","Andrew Franks","K","MIA","K","MIA","-14.9","25.2","null","198.5","152","29","null","null","1.8","null","null","0","25.2","25.2","5.1434","null",
