playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"2495459","null","Torrey Smith","WR","SF","WR","SF","1.3433","118.62","null","109.2","81","36","null","null","2.015","118.67","-37.67","1.8","118.62","118.62","3.447","null",
"1060","null","Gary Barnidge","TE","CLE","TE","CLE","1.0567","111.71","null","92.1","82","7","null","null","7.615","83.54","-1.54","3.3","111.71","111.71","3.0234","null",
"2552608","null","Stefon Diggs","WR","MIN","WR","MIN","0.4733","117.75","null","104.8","83","37","null","null","4.76","110.86","-27.86","2.6","117.75","117.75","3.4327","null",
"79555","null","Arian Foster","RB","MIA","RB","MIA","0.1233","127.6","null","75.9","84","30","null","null","3.635","73.17","10.83","8.2","127.6","127.6","5.1987","null",
"2506121","null","Philip Rivers","QB","SD","QB","SD","0.0687","262.248","null","88.4","85","11","null","null","2.973","84.02","0.98","6","262.248","262.248","2.6521","null",
"2506922","null","Stephen Gostkowski","K","NE","K","NE","0","39.4","null","202.8","86","1","null","null","1.65","99.78","-13.78","4.4","39.4","39.4","0.5186","null",
"2507232","null","Mason Crosby","K","GB","K","GB","-1.1","38.3","null","209.6","87","2","null","null","1.4","127.29","-40.29","1.5","38.3","38.3","3.0794","null",
"2552409","null","DeVante Parker","WR","MIA","WR","MIA","-1.8167","115.46","null","83.8","88","38","null","null","5.53","106.63","-18.63","4.8","115.46","115.46","6.5373","null",
"2495143","null","Andy Dalton","QB","CIN","QB","CIN","-2.0933","260.086","null","121.6","89","12","null","null","1.71","109.78","-20.78","3.4","260.086","260.086","4.6965","null",
"2550325","null","Chandler Catanzaro","K","ARI","K","ARI","-2.2","37.2","null","211","90","3","null","null","0.8","151.33","-61.33","1.3","37.2","37.2","2.9574","null",
"2505299","null","Antonio Gates","TE","SD","TE","SD","-2.5433","108.11","null","99.8","91","8","null","null","9.75","94.71","-3.71","2.1","108.11","108.11","3.0871","null",
"2507374","null","Steven Hauschka","K","SEA","K","SEA","-2.8","36.6","null","201.7","92","4","null","null","0.5","135.94","-43.94","2.6","36.6","36.6","2.4697","null",
"2552461","null","Duke Johnson","RB","CLE","RB","CLE","-2.8967","124.58","null","74.8","93","31","null","null","2.11","85.11","7.89","4.6","124.58","124.58","6.9321","null",
"71309","null","Graham Gano","K","CAR","K","CAR","-3.2","36.2","null","212.4","94","5","null","null","0.5","140.89","-46.89","1.3","36.2","36.2","3.5672","null",
"2495259","null","Dan Bailey","K","DAL","K","DAL","-3.4","36","null","206.6","95","6","null","null","0.75","151.78","-56.78","1.7","36","36","3.933","null",
"2532820","null","Kirk Cousins","QB","WAS","QB","WAS","-3.7153","258.464","null","110.5","96","13","null","null","2.378","109.6","-13.6","3.2","258.464","258.464","3.6784","null",
"79860","null","Matthew Stafford","QB","DET","QB","DET","-3.8913","258.288","null","115.4","97","14","null","null","5.052","107.25","-10.25","3","258.288","258.288","3.3664","null",
"2550545","null","Chris Boswell","K","PIT","K","PIT","-4","35.4","null","228.3","98","7","null","null","0.85","140.69","-42.69","1.6","35.4","35.4","4.9085","null",
"2552471","null","T.J. Yeldon","RB","JAC","RB","JAC","-4.1267","123.35","null","91.3","99","32","null","null","3.735","98.38","0.62","3.4","123.35","123.35","7.6641","null",
"2506386","null","Mike Nugent","K","CIN","K","CIN","-4.3","35.1","null","194","100","8","null","null","1.1","172.87","-72.87","0","35.1","35.1","3.4452","null",
