Player , Kickoff , Opponent , Spread , Over/Under , Predicted Score , Weather , Projected Rank , Salary Rank , Difference , Projected Points , Salary , CPP 
Vernon Davis (WAS - TE),Sun 1:00PM,@DET,WAS (-1),50,WAS 26,Indoor,15,100,+85,7.13,"$4,500",$631
Zach Ertz (PHI - TE),Sun 1:00PM,MIN,PHI (+3),39,PHI 18,"Partly Cloudy, 58 F, 12 mph",16,22,+6,6.95,"$5,100",$733
Antonio Gates (SD - TE),Sun 4:05PM,@ATL,SD (+5.5),52.5,SD 24,Indoor,17,13,-4,6.87,"$5,500",$800
Tyler Eifert (CIN - TE),Sun 1:00PM,CLE,CIN (-11),46,CIN 29,"Clear, 60 F, 9 mph",18,6,-12,6.04,"$6,000",$994
C.J. Fiedorowicz (HOU - TE),Mon 8:30PM,@DEN,HOU (+7.5),40.5,HOU 17,"Clear, 68 F, 3 mph",19,21,+2,5.59,"$5,100",$912
Jesse James (PIT - TE),Sun 4:25PM,NE,PIT (+7.5),48.5,PIT 21,"Partly Cloudy, 64 F, 11 mph",20,15,-5,5.51,"$5,400",$980
Jacob Tamme (ATL - TE),Sun 4:05PM,SD,ATL (-5.5),52.5,ATL 29,Indoor,21,19,-2,4.97,"$5,200","$1,046"
C.J. Uzomah (CIN - TE),Sun 1:00PM,CLE,CIN (-11),46,CIN 29,"Clear, 60 F, 9 mph",22,25,+3,4.85,"$4,800",$990
Niles Paul (WAS - TE),Sun 1:00PM,@DET,WAS (-1),50,WAS 26,Indoor,23,41,+18,4.71,"$4,500",$955
Vance McDonald (SF - TE),Sun 4:05PM,TB,SF (-1),45,SF 23,"Clear, 70 F, 5 mph",24,72,+48,4.11,"$4,500","$1,094"
Virgil Green (DEN - TE),Mon 8:30PM,HOU,DEN (-7.5),40.5,DEN 24,"Clear, 68 F, 3 mph",25,42,+17,3.95,"$4,500","$1,139"
Clive Walford (OAK - TE),Sun 1:00PM,@JAC,OAK (+2),47.5,OAK 23,"Clear, 68 F, 8 mph",26,24,-2,3.46,"$4,800","$1,386"
